purchase_date,purchase_dow,total_close_contacts
2020-12-01,2,111889
2020-12-02,3,1010399
2020-12-03,4,783334
2020-12-04,5,1435635
2020-12-05,6,1908635
2020-12-06,7,972326
2020-12-07,1,1150385
2020-12-08,2,982235
2020-12-09,3,975059
2020-12-10,4,1049604
2020-12-11,5,1317966
2020-12-12,6,1989391
2020-12-13,7,970239
2020-12-14,1,1003179
2020-12-15,2,1516460
2020-12-16,3,544740
2020-12-17,4,785246
2020-12-18,5,878361
2020-12-19,6,1303816
2020-12-20,7,102300
2020-12-21,1,121667
